Id;Categorie;Intitule;Tables_colonnes_concernees;Quantification_mesuree;Impact_si_non_traite;Action_corrective;Etape_ETL
PQ-01;Grain / duplication;DIS_PLV est eclate par reseau amont : ce n'est pas le grain du prelevement;DIS_PLV.referenceprel;4 060 859 lignes pour 2 834 678 prelevements distincts, soit +43,3 % de lignes. Un prelevement apparait jusqu'a 66 fois;Tous les taux de non-conformite sont fausses. Exemple 2024 : 3,48 % en comptant les lignes contre 4,09 % apres dedoublonnage;Dedoublonner sur referenceprel avant de charger le fait PRELEVEMENT. Controle prealable valide : 0 prelevement rattache a plusieurs communes, 0 prelevement avec des conformites divergentes;Transformation
PQ-02;Integrite referentielle;Le reseau amont reference des codes absents du referentiel des UDI;DIS_PLV.cdreseauamont;1 114 396 lignes (27,4 %) et 21 139 codes distincts sans correspondance dans DIS_COM_UDI;Jointure silencieusement vide, dimension reseau amont incomplete;Table pont RESEAU_AMONT avec un membre Inconnu. Ne pas utiliser le reseau amont comme niveau hierarchique fiable;Chargement
PQ-03;Format;La part de debit est stockee en texte avec le signe pourcent;DIS_PLV.pourcentdebit;56,04 % de valeurs absentes, 101 modalites de 0 % a 100 %, dont 25 477 lignes a 0 %;Impossible de ponderer l'arc multiple du reseau amont;Retirer le signe et caster en decimal. Definir la regle applicable aux poids nuls;Transformation
PQ-04;Format;Heure de prelevement au format non respecte;DIS_PLV.heureprel;5 880 valeurs nulles et des formats corrompus observes : 9:h54, 8:h30, 10h, 00h0, h;Echec du cast en TIME, rejet de lignes;Parser avec expression reguliere et table de rejet. Attribut optionnel : la dimension temps au jour suffit au workload;Transformation
PQ-05;Typage;Les codes geographiques perdent leur signification s'ils sont lus en numerique;DIS_PLV.cddept, DIS_COM_UDI.inseecommune, IFT.insee_com;Formats 001 a 976 plus 02A et 02B cote SISE-Eaux, 01001 cote INSEE;Perte des zeros de tete et disparition de la Corse (2A/2B deviennent NULL). Jointures fausses en silence;Forcer la lecture en VARCHAR (all_varchar=true dans DuckDB, type String dans KNIME);Extraction
PQ-06;Valeurs sentinelles;Des valeurs conventionnelles remplacent l'absence de donnee;IFT.siren_epci, IFT.insee_can, IFT.statut, DIS_COM_UDI.debutalim;siren_epci = NR sur 10 lignes, insee_can = NR sur 119, statut nul sur 12 865, date sentinelle 1900-01-01;Les sentinelles sont comptees comme des modalites reelles dans les agregats;Mapper NR et 1900-01-01 vers NULL a l'import;Transformation
PQ-07;Semantique;La commune du prelevement n'est pas la commune desservie;DIS_PLV.inseecommuneprinc;34 915 communes principales pour 34 944 communes desservies. Relation reelle N-N via DIS_COM_UDI (495 059 liens);Attribution geographique approximative des prelevements;Decision de modelisation a expliciter : arc multiple avec table pont, ou rattachement simplifie a la commune principale. Documenter le biais retenu;Modelisation
PQ-08;Texte libre;La conclusion sanitaire est un texte redige sans nomenclature;DIS_PLV.conclusionprel;140 609 variantes distinctes, longueur jusqu'a 3 782 caracteres;Dimension inexploitable telle quelle, aucune navigation OLAP possible;Classifier en 5 a 8 modalites par motifs textuels pour alimenter DIM_CONCLUSION. Conserver le texte source en attribut non analytique;Transformation
PQ-09;Qualite des libelles;Les libelles geographiques ne sont pas des identifiants;DIS_COM_UDI.nomcommune, DIS_COM_UDI.quartier, DIS_PLV.nomcommuneprinc, IFT.nom;32 694 noms distincts pour 34 944 communes : homonymes. Colonne quartier non normalisee (17 183 modalites, valeurs du type (1%) ou epizy, centre ville);Jointures erronees si la cle est le nom, doublons de dimension;Joindre exclusivement sur les codes INSEE. Rejeter la colonne quartier;Transformation
PQ-10;Normalisation;Libelles non trimes, casse incoherente, libelle variable pour un meme code;DIS_PLV.ugelib, DIS_PLV.distrlib, DIS_PLV.moalib, DIS_RESULT.libminparametre, DIS_RESULT.cdunitereferencesiseeaux, DIS_COM_UDI.nomreseau;44 560 valeurs de ugelib avec espaces ou tabulations parasites, 25 670 conclusions non trimees, 1 914 libelles pour 1 767 codes parametre, 72 unites avec doublons de casse, 25 849 noms de reseau pour 24 373 codes;Explosion artificielle du nombre de membres de dimension;Trim, normalisation de casse, et pour chaque code retenir le libelle le plus recent (SCD type 1);Transformation
PQ-11;Codification;Les indicateurs de conformite ont plus de deux modalites;DIS_PLV.plvconformitebacterio, plvconformitechimique, plvconformitereferencebact, plvconformitereferencechim;Bacterio : C 3 715 800, S 287 850, N 57 153. Chimique : C 3 952 830, N 101 985, D 3 906, S 2 082;Un simple test different de C classe a tort 290 000 prelevements en non conformes;Mesure = 1 si N, 0 si C, NULL sinon. Exclure S du denominateur. Statuer explicitement sur D (derogation) et tracer la decision dans le rapport;Transformation
PQ-12;Colonnes inexploitables;Colonnes vides, redondantes ou purement techniques;DIS_RESULT.libwebparametre, DIS_RESULT.referenceanl, DIS_RESULT.cdparametre, IFT.nom_m, IFT.id, IFT.id_admin_commune;libwebparametre : 921 valeurs non vides sur 125 167 285 lignes. referenceanl absent sur 11,73 %. cdparametre nul sur 0,10 %;Cle primaire instable, volume charge inutilement;Rejet documente. Cle du fait ANALYSE = referenceprel + cdparametresiseeaux et non referenceanl;Modelisation
PQ-13;Heterogeneite;Des parametres qualitatifs sont melanges aux parametres quantitatifs;DIS_RESULT.qualitparam, DIS_RESULT.valtraduite;9 791 250 lignes (7,82 %) avec qualitparam = O (odeur, aspect, saveur);Les moyennes de concentration integrent des codes sans unite;Filtrer sur qualitparam = N pour toute mesure numerique. Conserver les qualitatifs pour les comptages;Transformation
PQ-14;Heterogeneite;Le resultat brut melange nombres, valeurs censurees et texte;DIS_RESULT.rqana;48 773 modalites distinctes. Aucun changement anormal 6 881 300, Aspect normal 2 422 099, N.M. 919 918, SEUIL 220 843, valeurs negatives sentinelles -1,0 / -2,0 / -3,0, et le caractere ? sur 1 228 lignes;Cast direct impossible, valeurs negatives absurdes pour une concentration;Ne jamais caster rqana. Utiliser valtraduite pour la mesure et rqana uniquement pour deriver les indicateurs de censure;Transformation
PQ-15;Format;Les seuils reglementaires sont du texte libre avec operateur et unite;DIS_RESULT.limitequal, DIS_RESULT.refqual;limitequal absent sur 43,70 %, refqual sur 80,28 %. 64 118 644 seuils utilisent la virgule decimale contre 1 681 966 le point. 6 445 563 seuils sont des intervalles a deux bornes du type superieur ou egal a 6,5 et inferieur ou egal a 9;Impossible de calculer un depassement sans parsing. Le melange virgule et point casse le cast;Parser en quatre champs (operateur, borne_min, borne_max, unite) pour alimenter DIM_SEUIL. Normaliser le separateur decimal avant cast;Transformation
